package,start_time,end_time,input_tokens,output_tokens,model,raw
html-components,1780770009.9200032,1780770011.242105,819,22,claude-sonnet-4-6,"```json
{
  ""is_typosquat"": false
}
```"
nforza.cyrus.masstransit,1780770011.242663,1780770013.095934,828,22,claude-sonnet-4-6,"```json
{
  ""is_typosquat"": false
}
```"
is-negative-zero,1780770013.09611,1780770014.323669,822,22,claude-sonnet-4-6,"```json
{
  ""is_typosquat"": false
}
```"
alicloud-fc-helper,1780770014.3238668,1780770015.656273,822,22,claude-sonnet-4-6,"```json
{
  ""is_typosquat"": false
}
```"
eslint-config-moaqz,1780770015.656472,1780770016.9347048,824,22,claude-sonnet-4-6,"```json
{
  ""is_typosquat"": false
}
```"
nuxt-radash,1780770016.934886,1780770018.8091211,821,22,claude-sonnet-4-6,"```json
{
  ""is_typosquat"": false
}
```"
modal,1780770018.8093078,1780770021.183567,821,22,claude-sonnet-4-6,"```json
{
  ""is_typosquat"": false
}
```"
inline-print,1780770021.183816,1780770022.354882,819,22,claude-sonnet-4-6,"```json
{
  ""is_typosquat"": false
}
```"
keti-datadrift,1780770022.3550642,1780770023.443936,823,22,claude-sonnet-4-6,"```json
{
  ""is_typosquat"": false
}
```"
ChrisWilson010101/5Fnzh4r9HEuDxYcSBt7GPhDdbEEYBCSsR2S2CanTTToAV4wq_vgg,1780770023.444107,1780770024.684314,873,22,claude-sonnet-4-6,"```json
{
  ""is_typosquat"": false
}
```"
eslint-plugin-deprecated-props,1780770024.6844769,1780770025.773686,824,22,claude-sonnet-4-6,"```json
{
  ""is_typosquat"": false
}
```"
manaxu-ai,1780770025.7738612,1780770028.335775,821,22,claude-sonnet-4-6,"```json
{
  ""is_typosquat"": false
}
```"
git-cockpit,1780770028.335959,1780770029.575459,820,22,claude-sonnet-4-6,"```json
{
  ""is_typosquat"": false
}
```"
react-scroll-area,1780770029.575626,1780770030.707572,825,22,claude-sonnet-4-6,"```json
{
  ""is_typosquat"": false
}
```"
esbuild-linux-riscv64,1780770030.707746,1780770032.0309298,826,22,claude-sonnet-4-6,"```json
{
  ""is_typosquat"": false
}
```"
nodemailer-mjml,1780770032.0311081,1780770033.265871,822,22,claude-sonnet-4-6,"```json
{
  ""is_typosquat"": false
}
```"
cool-rich-text-editor,1780770033.26605,1780770035.418216,825,22,claude-sonnet-4-6,"```json
{
  ""is_typosquat"": false
}
```"
eslint-config-turbo,1780770035.4183922,1780770036.64639,826,22,claude-sonnet-4-6,"```json
{
  ""is_typosquat"": false
}
```"
coomer-downloader,1780770036.646566,1780770037.978985,821,22,claude-sonnet-4-6,"```json
{
  ""is_typosquat"": false
}
```"
g4.extensions,1780770037.979157,1780770039.511594,821,22,claude-sonnet-4-6,"```json
{
  ""is_typosquat"": false
}
```"
bnppf-font-icons,1780770039.511772,1780770040.8466802,824,22,claude-sonnet-4-6,"```json
{
  ""is_typosquat"": false
}
```"
