package,start_time,end_time,input_tokens,output_tokens,model,raw
html-components,1780771153.2206862,1780771154.435909,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
nforza.cyrus.masstransit,1780771154.436368,1780771155.661654,2362,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
is-negative-zero,1780771155.6618218,1780771156.995719,2356,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
alicloud-fc-helper,1780771156.995899,1780771158.3262641,2356,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
eslint-config-moaqz,1780771158.326427,1780771159.767775,2358,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
nuxt-radash,1780771159.767953,1780771160.92399,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
modal,1780771160.924165,1780771162.1706722,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
inline-print,1780771162.170848,1780771163.4474182,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
keti-datadrift,1780771163.4475799,1780771164.6526651,2357,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
ChrisWilson010101/5Fnzh4r9HEuDxYcSBt7GPhDdbEEYBCSsR2S2CanTTToAV4wq_vgg,1780771164.652843,1780771166.313619,2407,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
eslint-plugin-deprecated-props,1780771166.313823,1780771167.570805,2358,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
manaxu-ai,1780771167.57099,1780771168.9764569,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
git-cockpit,1780771168.976626,1780771170.2047749,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
react-scroll-area,1780771170.204961,1780771171.6406379,2359,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
esbuild-linux-riscv64,1780771171.640814,1780771172.867868,2360,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
nodemailer-mjml,1780771172.868048,1780771174.0191731,2356,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
cool-rich-text-editor,1780771174.019346,1780771175.512365,2359,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
eslint-config-turbo,1780771175.512531,1780771178.399552,2360,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
coomer-downloader,1780771178.399728,1780771179.723632,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
g4.extensions,1780771179.723805,1780771181.059154,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
bnppf-font-icons,1780771181.059329,1780771182.492167,2358,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
secretai,1780771182.4923441,1780771183.736188,2352,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
ragclip,1780771183.7363698,1780771185.1904151,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
eslint-config-delfi,1780771185.1905909,1780771186.4861922,2357,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
packager,1780771186.486366,1780771188.124816,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
utils,1780771188.124984,1780771189.353226,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
steamcom,1780771189.3534029,1780771198.205987,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
rjq-api-koa,1780771198.2061682,1780771199.6952598,2358,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
core,1780771199.6954298,1780771201.0270212,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
eslint-plugin-noaaa,1780771201.0271869,1780771202.3572989,2358,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
branch-body-web3-feel,1780771202.3574731,1780771203.6641002,2358,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
vec2d,1780771203.664261,1780771204.918143,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
axios,1780771204.918315,1780771206.10272,2353,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
types,1780771206.102894,1780771207.58032,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
express-async-context,1780771207.580513,1780771208.814817,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
lk-collection,1780771208.814987,1780771209.970037,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
react,1780771209.970193,1780771211.164305,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
brotli-compress-wasm,1780771211.164482,1780771212.599086,2358,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
geniusdevs-types,1780771212.599244,1780771213.914856,2357,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
ivideo-react,1780771213.915054,1780771215.056315,2354,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
eslint-plugin-redux,1780771215.05649,1780771216.5048451,2356,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
safe-typed-storage,1780771216.505016,1780771217.823203,2355,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
string.prototype.at,1780771217.8234,1780771219.049629,2359,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
due-engineer-being4,1780771219.049799,1780771221.199714,2356,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
protoc-gen-ts,1780771221.1998851,1780771222.406325,2356,18,claude-sonnet-4-6,"```json
{""is_typosquat"": false}
```"
EleuterAI/gpt-j-6B,1780771222.406493,1780771223.662221,2366,18,claude-sonnet-4-6,"```json
{""is_typosquat"": true}
```"
