type,name,namespace,is_typosquat
npm,html-components,,False
nuget,nforza.cyrus.masstransit,,False
npm,is-negative-zero,@types,False
npm,alicloud-fc-helper,,False
npm,eslint-config-moaqz,,False
npm,nuxt-radash,,False
npm,modal,@purpurds,False
npm,inline-print,,False
pypi,keti-datadrift,,False
huggingface,ChrisWilson010101/5Fnzh4r9HEuDxYcSBt7GPhDdbEEYBCSsR2S2CanTTToAV4wq_vgg,,False
npm,eslint-plugin-deprecated-props,,False
npm,manaxu-ai,,False
npm,git-cockpit,,False
npm,react-scroll-area,@mijn-ui,False
npm,esbuild-linux-riscv64,,False
npm,nodemailer-mjml,,False
npm,cool-rich-text-editor,@aliga,False
npm,eslint-config-turbo,@podcodar,False
npm,coomer-downloader,,False
nuget,g4.extensions,,False
npm,bnppf-font-icons,,False
npm,secretai,,False
pypi,ragclip,,False
npm,eslint-config-delfi,,False
npm,packager,@electron,False
npm,utils,@csqcsq,False
pypi,steamcom,,True
npm,rjq-api-koa,,False
npm,core,@event-calendar,False
npm,eslint-plugin-noaaa,,False
npm,branch-body-web3-feel,,False
npm,vec2d,,False
npm,axios,@beneway,True
npm,types,@mdxdb,False
npm,express-async-context,,False
npm,lk-collection,,False
npm,react,@assistant-ui,False
npm,brotli-compress-wasm,,False
npm,geniusdevs-types,,False
npm,ivideo-react,,False
npm,eslint-plugin-redux,,False
npm,safe-typed-storage,,False
npm,string.prototype.at,@nolyfill,False
npm,due-engineer-being4,,False
npm,protoc-gen-ts,,False
huggingface,EleuterAI/gpt-j-6B,,True
npm,js-data-structures,,False
npm,object.values,@nolyfill,False
npm,eslint-config-nando,,False
npm,array.prototype.tosorted,@nolyfill,False
pypi,scipy-doctest,,False
npm,project-x-ui,,False
golang,github.com/go-zoox/errors,,False
npm,bleujs,,False
npm,utils,@realpay,False
npm,icons,@ws-ui,False
npm,utils,@gmana,False
pypi,lara-mg,,False
npm,tooltip,@calm-ui,False
npm,shopify-cli,,False
gem,carmen,,False
npm,samaneha-ui,@dpfs,False
npm,nathan_utils,,False
npm,fameex-test,,False
npm,eslint-config-base,@fishbrain,False
npm,vemp-lib,,False
npm,etherdata-react-ui,,False
npm,utils,@birman,False
npm,arr-union,,False
npm,deep-equal,@wareset,True
npm,react-devtools-inline,@types,False
npm,eslint-config,@aaos,False
npm,eslint-config-acw-base,,False
pypi,sagemath-categories,,False
npm,core,@batiq,False
pypi,safe-logger,,False
npm,popover,@bwsoft,False
npm,json-schema-ref-parser,@bcherny,False
npm,bitfinex-dev,,False
npm,banner,@saruni-ui,False
npm,eslint-plugin-styles,,False
npm,npm-pack,,False
npm,morgan,@cmmv,False
npm,card,@ajk-ui,False
npm,eslint-plugin-chai,,False
npm,prop-types-plus,@burnsred,False
npm,eslint-config-vue,@matterlabs,False
npm,utils,@domql,False
npm,cli,@tuanzii,False
npm,print-cli,,False
npm,fameex-dev,,False
npm,pleasejs,@types,False
npm,dropdown-menu,@rescui,False
npm,routers,,False
npm,preview,@teambit,False
npm,react-tabs,@mijn-ui,False
npm,eslint-config-vue,@benewy,False
npm,jsonrpc-serializer,,False
npm,bithumb-main,,False
npm,relayer-utils,,False
huggingface,stablediffusionapi/thinkdiffusionxl,,False
npm,eslint-plugin-script-tags,,False
npm,react-native-remote-svg,,False
npm,eslint-config-bamboo,,False
npm,eslint-config-vue,@gjfleo,False
npm,date,@lqjun,False
npm,deepcoin,,False
npm,debounce,,False
npm,abab,@nolyfill,False
npm,sanitize,,False
npm,tag,@snmt-react-ui,False
npm,eslint-config-msk,,False
npm,maina-cli,,False
npm,audiobuffer,,False
npm,binding-win32-x64-msvc,@oxc-parser,False
npm,typed-array-buffer,@nolyfill,False
nuget,microsoft.framework.caching.distributed,,True
npm,code,@teambit,False
npm,core,@jamsr-ui,False
npm,ai-agent-client,,False
pypi,scipy-openblas64,,False
npm,util,@tailjs,False
npm,plugin-config,@swsdk,False
npm,types,@impacts,False
npm,i18n,@ckpack,False
huggingface,ChrisWilson010101/5GseTsnUzgPzwyTi7N9SXLtMVj2wvfZZVDvxGvMh4reBP8sN_vgg,,False
npm,opentelemetry-instrumentation-bull,@anakshiant,False
npm,eslint-config-tjw-base,,False
npm,obojobo-chunks-question,,False
npm,eslint-config,@vality,False
npm,enqueue,,False
npm,typed-array-byte-length,@nolyfill,False
npm,react-utilities,@mijn-ui,False
npm,island-mine-web3-beneath,,False
npm,react-progress,@mijn-ui,False
npm,eslint-config-tidal,,False
npm,json-web-token,,False
npm,mypluralize,@tryck,False
npm,tencentcloud-sdk-nodejs-tic,,False
npm,string.prototype.includes,@nolyfill,False
npm,util.promisify,@types,False
npm,getui-sdk,,False
npm,base,@thisway,False
npm,eslint-plugin-yaml,,False
pypi,ouroboros-hf-text-generation,,False
npm,checkbox,@rescui,False
npm,modal,@symbo.ls,False
npm,react-table,@types,False
