issue_id,start_time,end_time,input_tokens,output_tokens,model
12543441,1780632383.012267,1780632384.652031,1032,25,claude-sonnet-4-6
12604115,1780632384.655295,1780632385.9242508,1147,25,claude-sonnet-4-6
12894489,1780632385.926193,1780632390.429832,1294,25,claude-sonnet-4-6
13258430,1780632390.431332,1780632391.761759,1104,25,claude-sonnet-4-6
26044044,1780632391.766054,1780632393.194328,2381,25,claude-sonnet-4-6
30381958,1780632393.1980228,1780632394.5705879,2322,25,claude-sonnet-4-6
30487651,1780632394.573523,1780632396.0619788,1478,25,claude-sonnet-4-6
40896758,1780632396.064783,1780632397.451877,2032,25,claude-sonnet-4-6
57004054,1780632397.454433,1780632398.762211,2192,25,claude-sonnet-4-6
57028956,1780632398.767963,1780632406.201132,5034,25,claude-sonnet-4-6
57258770,1780632406.212148,1780632407.9394078,6622,25,claude-sonnet-4-6
76458248,1780632407.9415948,1780632413.8255749,2012,25,claude-sonnet-4-6
81567058,1780632413.829737,1780632415.3879192,2182,25,claude-sonnet-4-6
93109737,1780632415.389492,1780632416.632088,1262,25,claude-sonnet-4-6
93144364,1780632416.634292,1780632417.973324,1706,25,claude-sonnet-4-6
93644527,1780632417.9792728,1780632419.612872,3658,25,claude-sonnet-4-6
118883615,1780632419.6143842,1780632420.9036531,1413,25,claude-sonnet-4-6
119143420,1780632420.909447,1780632422.788566,3573,25,claude-sonnet-4-6
120669453,1780632422.7900128,1780632424.0052009,1066,25,claude-sonnet-4-6
120669455,1780632424.006739,1780632425.239282,1150,25,claude-sonnet-4-6
120669472,1780632425.2415712,1780632426.457667,1603,25,claude-sonnet-4-6
120671163,1780632426.46735,1780632428.113056,5139,25,claude-sonnet-4-6
123798414,1780632428.1156769,1780632429.5865788,2498,25,claude-sonnet-4-6
123816536,1780632429.5883121,1780632431.6950378,3560,25,claude-sonnet-4-6
124545273,1780632431.69649,1780632433.129581,1715,25,claude-sonnet-4-6
161100349,1780632433.131059,1780632434.444722,1501,25,claude-sonnet-4-6
161318188,1780632434.446207,1780632435.8638442,1584,25,claude-sonnet-4-6
224925160,1780632435.8659441,1780632437.123443,2751,25,claude-sonnet-4-6
226122807,1780632437.127059,1780632439.3757849,3117,25,claude-sonnet-4-6
227599044,1780632439.379006,1780632440.810094,2273,25,claude-sonnet-4-6
230340780,1780632440.812077,1780632442.1415958,2261,25,claude-sonnet-4-6
237547233,1780632442.144004,1780632443.475132,1762,25,claude-sonnet-4-6
239163194,1780632443.4768388,1780632445.2127638,2305,25,claude-sonnet-4-6
239227953,1780632445.218184,1780632446.953575,4965,25,claude-sonnet-4-6
245325788,1780632446.956631,1780632448.67006,2261,25,claude-sonnet-4-6
257408022,1780632448.671734,1780632450.024218,1206,25,claude-sonnet-4-6
257507626,1780632450.0261152,1780632451.319865,1224,25,claude-sonnet-4-6
258283802,1780632451.3213272,1780632452.622758,1254,25,claude-sonnet-4-6
265601368,1780632452.624278,1780632454.004745,1061,25,claude-sonnet-4-6
267695504,1780632454.010112,1780632456.138732,3197,25,claude-sonnet-4-6
267720560,1780632456.1405199,1780632457.49997,1631,25,claude-sonnet-4-6
268049628,1780632457.5108302,1780632458.996293,4718,25,claude-sonnet-4-6
269261234,1780632458.998401,1780632460.597884,1696,25,claude-sonnet-4-6
275190612,1780632460.599301,1780632461.9046059,1074,25,claude-sonnet-4-6
284822263,1780632461.9063911,1780632463.235996,1016,25,claude-sonnet-4-6
285019638,1780632463.2374558,1780632464.492637,1127,25,claude-sonnet-4-6
285132250,1780632464.49403,1780632465.794574,1182,25,claude-sonnet-4-6
295083733,1780632465.796611,1780632467.3311942,1518,25,claude-sonnet-4-6
297861707,1780632467.333886,1780632469.219598,2671,25,claude-sonnet-4-6
298019785,1780632469.2210848,1780632470.416258,1909,25,claude-sonnet-4-6
298311894,1780632470.41904,1780632471.7353442,2384,25,claude-sonnet-4-6
298905113,1780632471.736831,1780632473.167682,1804,25,claude-sonnet-4-6
298965480,1780632473.169754,1780632474.497848,2328,25,claude-sonnet-4-6
303501715,1780632474.4996228,1780632475.82976,2125,25,claude-sonnet-4-6
303526807,1780632475.831681,1780632477.057972,1270,25,claude-sonnet-4-6
