issue_id,start_time,end_time,input_tokens,output_tokens,model
12543441,1780632968.5346298,1780632970.110334,2485,25,claude-sonnet-4-6
12604115,1780632970.111903,1780632971.43853,2600,25,claude-sonnet-4-6
12894489,1780632971.440174,1780632972.619864,2747,25,claude-sonnet-4-6
13258430,1780632972.621289,1780632973.8505752,2557,25,claude-sonnet-4-6
26044044,1780632973.855048,1780632975.120415,3834,25,claude-sonnet-4-6
30381958,1780632975.123921,1780632977.0737028,3775,25,claude-sonnet-4-6
30487651,1780632977.07654,1780632978.506848,2931,25,claude-sonnet-4-6
40896758,1780632978.509422,1780632979.9408052,3485,25,claude-sonnet-4-6
57004054,1780632979.94293,1780632981.3740659,3645,25,claude-sonnet-4-6
57028956,1780632981.379659,1780632983.114628,6487,25,claude-sonnet-4-6
57258770,1780632983.125479,1780632984.7715478,8075,25,claude-sonnet-4-6
76458248,1780632984.7737012,1780632986.390953,3465,25,claude-sonnet-4-6
81567058,1780632986.394086,1780632988.132342,3635,25,claude-sonnet-4-6
93109737,1780632988.133856,1780632989.4343622,2715,25,claude-sonnet-4-6
93144364,1780632989.437058,1780632991.0006442,3159,25,claude-sonnet-4-6
93644527,1780632991.006643,1780632992.5109172,5111,25,claude-sonnet-4-6
118883615,1780632992.5126479,1780632993.9691808,2866,25,claude-sonnet-4-6
119143420,1780632993.973703,1780632995.507734,5026,25,claude-sonnet-4-6
120669453,1780632995.509165,1780632996.81258,2519,25,claude-sonnet-4-6
120669455,1780632996.813996,1780632998.06577,2603,25,claude-sonnet-4-6
120669472,1780632998.067947,1780632999.2944388,3056,25,claude-sonnet-4-6
120671163,1780632999.303823,1780633001.172788,6592,25,claude-sonnet-4-6
123798414,1780633001.175209,1780633002.412364,3951,25,claude-sonnet-4-6
123816536,1780633002.414114,1780633006.464465,5013,25,claude-sonnet-4-6
124545273,1780633006.465955,1780633007.686655,3168,25,claude-sonnet-4-6
161100349,1780633007.6880991,1780633009.0215309,2954,25,claude-sonnet-4-6
161318188,1780633009.023037,1780633010.455667,3037,25,claude-sonnet-4-6
224925160,1780633010.45761,1780633012.680414,4204,25,claude-sonnet-4-6
226122807,1780633012.684331,1780633014.226592,4570,25,claude-sonnet-4-6
227599044,1780633014.229793,1780633015.785845,3726,25,claude-sonnet-4-6
230340780,1780633015.78801,1780633019.782122,3714,25,claude-sonnet-4-6
237547233,1780633019.7860491,1780633021.720169,3215,25,claude-sonnet-4-6
239163194,1780633021.7218611,1780633023.306435,3758,25,claude-sonnet-4-6
239227953,1780633023.311798,1780633025.405674,6418,25,claude-sonnet-4-6
245325788,1780633025.408619,1780633027.1471941,3714,25,claude-sonnet-4-6
257408022,1780633027.148833,1780633028.452965,2659,25,claude-sonnet-4-6
257507626,1780633028.454806,1780633029.808206,2677,25,claude-sonnet-4-6
258283802,1780633029.8096352,1780633031.011175,2707,25,claude-sonnet-4-6
265601368,1780633031.012705,1780633032.19297,2514,25,claude-sonnet-4-6
267695504,1780633032.198646,1780633033.846099,4650,25,claude-sonnet-4-6
267720560,1780633033.848544,1780633035.1339362,3084,25,claude-sonnet-4-6
268049628,1780633035.144354,1780633036.7381601,6171,25,claude-sonnet-4-6
269261234,1780633036.7402759,1780633038.104542,3149,25,claude-sonnet-4-6
