issue_id,pred_score,true_label
12543441,0.05,0
12604115,0.05,0
12894489,0.78,1
13258430,0.52,1
26044044,0.05,0
30381958,0.42,1
30487651,0.45,1
40896758,0.55,1
57004054,0.05,0
57028956,0.12,0
57258770,0.35,1
76458248,0.08,0
81567058,0.35,1
93109737,0.05,0
93144364,0.18,0
93644527,0.35,1
118883615,0.08,0
119143420,0.41,1
120669453,0.05,0
120669455,0.05,0
120669472,0.72,1
120671163,0.18,1
123798414,0.22,0
123816536,0.04,0
124545273,0.05,1
161100349,0.05,0
161318188,0.05,0
224925160,0.04,0
226122807,0.05,0
227599044,0.05,0
230340780,0.22,1
237547233,0.12,1
239163194,0.04,0
239227953,0.18,1
245325788,0.12,1
257408022,0.55,1
257507626,0.05,0
258283802,0.05,0
265601368,0.03,0
267695504,0.08,0
267720560,0.05,0
268049628,0.72,1
269261234,0.08,0
275190612,0.03,0
284822263,0.05,0
285019638,0.05,0
285132250,0.55,1
295083733,0.05,0
297861707,0.04,0
298019785,0.03,0
298311894,0.62,1
298905113,0.05,0
298965480,0.07,0
303501715,0.04,0
303526807,0.04,0
303724074,0.05,0
303851098,0.05,0
303999619,0.07,0
304422453,0.52,1
305030419,0.62,1
312321697,0.05,0
312953330,0.72,1
313696087,0.1,1
315863357,0.35,1
323775442,0.08,0
324276129,0.05,0
327361942,0.05,0
329086591,0.12,0
332965663,0.52,1
337285194,0.08,0
337557052,0.03,0
338480646,0.35,1
339255201,0.07,0
339456108,0.04,0
339498894,0.85,1
339558213,0.08,0
352175657,0.05,0
352264316,0.18,0
352750519,0.32,1
355578053,0.08,0
356609376,0.52,1
364146679,0.12,1
367873152,0.05,0
369840190,0.82,1
378091553,0.07,0
378837238,0.05,0
383803201,0.04,0
395069039,0.62,1
395397820,0.08,0
406907882,0.55,1
413810536,0.05,0
426539004,0.08,0
428415685,0.08,0
428860002,0.22,0
429038270,0.55,1
429558383,0.05,0
430055555,0.35,1
432631890,0.72,1
435381203,0.04,0
435537996,0.72,1
435809470,0.72,1
436303024,0.35,1
453085440,0.18,0
470914914,0.12,0
483355054,0.42,1
484495607,0.05,0
484607720,0.04,0
484737447,0.82,1
494492439,0.18,1
503273161,0.35,1
506373137,0.04,0
510675125,0.35,1
513570691,0.05,0
517388807,0.05,0
517496715,0.04,0
517636820,0.03,0
518811026,0.35,1
528942466,0.72,1
530232265,0.55,1
534536830,0.85,1
534583789,0.47,1
540444697,0.05,0
543041563,0.28,1
549848681,0.35,1
556060860,0.05,0
556620312,0.55,1
562545072,0.32,1
563353855,0.07,0
565358712,0.72,1
567185616,0.72,1
568504032,0.08,0
573609761,0.05,0
574196668,0.45,1
592108544,0.05,0
593786227,0.07,0
594743650,0.08,0
595484179,0.91,1
598170002,0.72,1
619483018,0.04,0
619762251,0.74,1
625850461,0.07,0
625973988,0.04,0
626160130,0.05,0
626502695,0.55,1
627087857,0.55,1
628465400,0.45,1
630474484,0.03,0
631073809,0.08,1
631364219,0.35,1
637387491,0.04,0
637469461,0.05,0
637472836,0.05,0
638202113,0.74,1
638768339,0.85,1
638866639,0.03,0
642902435,0.08,0
642933508,0.03,0
643360992,0.72,1
651934683,0.04,0
652809371,0.74,1
670181111,0.03,0
670237997,0.05,0
670244317,0.03,0
670691047,0.55,1
702773820,0.05,0
708153303,0.05,0
717290138,0.55,0
719712881,0.04,0
721150006,0.08,0
723058396,0.35,1
724770883,0.04,0
727127817,0.52,1
732267627,0.72,1
739501498,0.05,0
740669717,0.08,0
741692283,0.55,1
770039478,0.04,0
774658458,0.07,0
774727384,0.62,1
777338361,0.61,1
785540082,0.05,0
785550073,0.05,0
785606324,0.28,0
786108116,0.55,1
795993177,0.55,1
805964034,0.08,0
806402033,0.08,0
806517131,0.05,0
807725060,0.28,1
822814509,0.05,0
830090253,0.74,1
831174119,0.68,1
843213515,0.35,1
868837666,0.03,0
870218880,0.05,0
878659180,0.04,0
889808682,0.12,0
891827256,0.05,0
891972914,0.05,0
892749088,0.03,0
894598837,0.52,1
901470437,0.05,0
902432450,0.05,0
903180718,0.04,0
904754673,0.72,1
906427489,0.82,1
907232677,0.72,1
907469276,0.05,0
907703137,0.05,0
908088395,0.35,1
909049845,0.18,0
914128991,0.32,1
934090244,0.05,0
936567326,0.45,1
938682436,0.05,0
941489296,0.72,1
942977802,0.12,0
943628968,0.05,0
945369934,0.05,0
946432482,0.05,0
951429255,0.12,1
952956841,0.22,1
965558043,0.08,0
970346459,0.05,0
970498069,0.05,0
976125179,0.97,1
978528716,0.35,1
980024149,0.12,0
980057113,0.81,1
996488240,0.05,0
997299420,0.82,1
1011467346,0.22,1
1014671924,0.72,1
1023471270,0.35,0
1024092388,0.03,0
1026512862,0.21,1
1044777742,0.04,0
1047632192,0.35,1
1060667929,0.62,1
1060818896,0.05,0
1069658114,0.07,0
1071142982,0.07,0
1071282826,0.04,0
1071369789,0.33,0
1072125460,0.35,1
1072260206,0.05,0
1072818585,0.52,1
1074820966,0.07,0
1075336417,0.07,0
1077844466,0.05,0
1081544311,0.05,0
1087972186,0.18,1
1100051808,0.82,1
1100433367,0.82,1
1100552741,0.05,0
1102067921,0.08,0
1102918184,0.35,1
1104158786,0.04,0
1104666990,0.35,1
1107247166,0.55,1
1109341078,0.08,0
1124928026,0.05,0
1131112111,0.05,0
1131156931,0.08,0
1132576171,0.22,0
1132862079,0.15,0
1136028189,0.35,1
1160862933,0.72,1
1161973878,0.55,1
1163541364,0.74,1
1165209319,0.85,1
1166956712,0.87,1
1169650672,0.82,1
1174122161,0.62,1
1176322857,0.22,1
1179107768,0.72,1
1180049504,0.05,0
1180130058,0.08,0
1181103738,0.22,1
1185488090,0.03,0
1190760812,0.05,0
1190959350,0.88,1
1201906086,0.52,1
1206241855,0.35,1
1212326115,0.05,0
1213461044,0.18,1
1213607968,0.08,0
1215298581,0.35,1
1221806426,0.72,1
1227174892,0.52,1
1236343221,0.08,0
1242792738,0.82,1
1246145167,0.04,0
1246293810,0.04,0
1248033266,0.82,1
1248043592,0.04,0
1248670667,0.03,0
1249619017,0.04,0
1251713538,0.72,1
1252756496,0.55,1
1260725718,0.05,0
1264792351,0.05,0
1273690815,0.04,0
1278268505,0.41,1
1279700430,0.22,0
1279826564,0.45,1
1289435310,0.03,0
1289611953,0.05,0
1290566899,0.05,0
1291899006,0.07,1
1293048520,0.35,1
1294541749,0.28,1
1296220281,0.05,0
1299391458,0.35,1
1300542090,0.03,0
1300631567,0.05,0
1301011966,0.55,1
1303501703,0.15,0
1305778533,0.05,0
1306607503,0.05,0
1306623830,0.05,0
1307091650,0.72,1
1308973136,0.55,1
1317065867,0.08,0
1320838818,0.04,0
1323249608,0.15,0
1328055416,0.04,0
