GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Collections,org.apache.commons.collections4.keyvalue,TiedMapEntry,109,0,22,0,22,0,18,0,7,0
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractMapEntry,65,5,20,0,11,2,13,1,3,1
Apache Commons Collections,org.apache.commons.collections4.keyvalue,UnmodifiableMapEntry,24,0,0,0,7,0,4,0,4,0
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractKeyValue,29,15,0,0,11,6,3,3,3,3
Apache Commons Collections,org.apache.commons.collections4.keyvalue,MultiKey,195,0,12,0,37,0,20,0,14,0
Apache Commons Collections,org.apache.commons.collections4.keyvalue,DefaultMapEntry,14,5,0,0,4,2,2,1,2,1
Apache Commons Collections,org.apache.commons.collections4.keyvalue,DefaultKeyValue,114,0,24,0,25,0,21,0,9,0
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractMapEntryDecorator,47,0,4,0,14,0,10,0,8,0
Apache Commons Collections,org.apache.commons.collections4.splitmap,TransformedSplitMap,118,0,8,0,30,0,15,0,11,0
Apache Commons Collections,org.apache.commons.collections4.splitmap,AbstractIterableGetMapDecorator,83,0,4,0,23,0,18,0,16,0
Apache Commons Collections,org.apache.commons.collections4.collection,AbstractCollectionDecorator,87,0,2,0,25,0,19,0,18,0
Apache Commons Collections,org.apache.commons.collections4.collection,TransformedCollection,103,0,8,0,21,0,11,0,7,0
Apache Commons Collections,org.apache.commons.collections4.collection,IndexedCollection,213,0,22,0,56,0,27,0,16,0
Apache Commons Collections,org.apache.commons.collections4.collection,UnmodifiableBoundedCollection,104,0,14,0,28,0,20,0,13,0
Apache Commons Collections,org.apache.commons.collections4.collection,PredicatedCollection,94,0,8,0,20,0,11,0,7,0
Apache Commons Collections,org.apache.commons.collections4.collection,CompositeCollection,387,0,42,0,97,0,46,0,25,0
Apache Commons Collections,org.apache.commons.collections4.collection,SynchronizedCollection,240,0,12,0,51,0,26,0,20,0
