GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.Constants,671,0,0,0,22,0,2,0,2,0
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},126,0,12,0,23,0,8,0,2,0
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},181,0,22,0,25,0,13,0,2,0
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},121,0,19,0,33,0,15,0,3,0
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},242,0,25,0,41,0,17,0,4,0
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},235,0,24,0,44,0,16,0,4,0
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},141,0,24,0,39,0,16,0,4,0
jsoup Java HTML Parser,org.jsoup.parser,Token.Doctype,18,45,0,0,5,14,5,2,5,2
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},270,0,47,0,65,0,30,0,3,0
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},125,0,10,0,12,0,7,0,2,0
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},81,0,18,0,20,0,11,0,2,0
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},128,0,27,0,33,0,17,0,2,0
jsoup Java HTML Parser,org.jsoup.parser,Token.TokenType,0,64,0,0,0,7,0,1,0,1
